990680638431875076	Jesus Arroyave	chchbrs	Sun Apr 29 19:54:04 +0000 2018	NA	NA	NA	vargas lleras adhiere a denuncia de petro y dice que encuesta de rcn s est alterada	
990679897256415233	Octavio Quintero	oquinteroefe	Sun Apr 29 19:51:08 +0000 2018	NA	NA	NA	aguacero de trino sobre expropiaciones propuestas por duque vargas lleras y pe alosa pero solo alborota el avispe	
990676098248794112	Hagamos país en paz	pais_paz	Sun Apr 29 19:36:02 +0000 2018	NA	NA	NA	vargas y dice que le pone atenci n al pueblo el 90 de los c	
990672913622806528	PrensaLibreJCV	PrensaLibreJCV	Sun Apr 29 19:23:23 +0000 2018	NA	NA	NA	seg n las respuestas a la entrevista de a ste ser a el mejor candidato el m s experi	
990668762528534529	Tuto Santos	SantosTuto	Sun Apr 29 19:06:53 +0000 2018	NA	NA	NA	m s perdido que los votos de opini n de vargas lleras	
990667105413496832	Tuto Santos	SantosTuto	Sun Apr 29 19:00:18 +0000 2018	NA	NA	NA	s como no jajajajajja para risa esto de vargas lleras	
990658437662085120	Rafael Guarín	RafaGuarin	Sun Apr 29 18:25:51 +0000 2018	NA	NA	NA	ante inevitable fracaso de su candidato vargas lleras a santos le queda apoyar a petro en la segunda vuelta por e	
990657982793994240	Esperanza martinez	lahoppym	Sun Apr 29 18:24:03 +0000 2018	NA	NA	NA	soy vargas lleras v a	
990655587120795648	Marcela C	MarchisCortes	Sun Apr 29 18:14:32 +0000 2018	NA	NA	NA	a mi medaculillo con vargas lleras y el cartel de la paz delinquiendo desde el gobierno igual a ah	
990653868399882241	Elsy Rosas Crespo	EnsayistaNews	Sun Apr 29 18:07:42 +0000 2018	NA	NA	NA	apetrolofinanciaelpueblo y como el pueblo somos el 95 de los colombianos mauricio vargas concluy que la maquinar	
990652818779529216	gabriel cortes	ingabrielc	Sun Apr 29 18:03:32 +0000 2018	NA	NA	NA	usted dice que vargas lleras es uribe en ning n momento menciona a santos gracias se or uribista	
990652320814915585	leonardo heredia	leonardoh35	Sun Apr 29 18:01:33 +0000 2018	NA	NA	NA	tiene pinta de vargas lleras	
990652065713188864	Brian Medina	bsmbcol	Sun Apr 29 18:00:32 +0000 2018	NA	NA	NA	qu no vaya a decir que mejor vargas lleras que se retire dignamente por favor	
990651863010865152	@HUGO ALGARRA	hugoalgarra	Sun Apr 29 17:59:44 +0000 2018	NA	NA	NA	son dos formas diferente de hacer pol tica fajardo lo hace caminando en las calles al candi	
990651318242078722	gabriel cortes	ingabrielc	Sun Apr 29 17:57:34 +0000 2018	NA	NA	NA	o sea ni vargas lleras ni duque uribistas ni petro chavista nos deja a fajardo y de la calle y lo dice un uribista	
990649871718809600	Germán Vargas Lleras	German_Vargas	Sun Apr 29 17:51:49 +0000 2018	NA	NA	NA	de cordoba salgo s per motivado ac en ci naga de oro su tierra natal le vamos a dar una pela electoral a petro	
990649414711627776	LA FM	lafm	Sun Apr 29 17:50:00 +0000 2018	NA	NA	NA	vargas lleras y su j bilo al conocer de la investigaci n a las firmas encuestadoras mepasoalafm	
990649135446609920	Luis Felipe Olarte	luisfeolarte	Sun Apr 29 17:48:53 +0000 2018	NA	NA	NA	lara vargas congresista y que tiene de malo que el verdadero rival sea vargas lleras p	
990649131109638144	Germán Vargas Lleras	German_Vargas	Sun Apr 29 17:48:52 +0000 2018	NA	NA	NA	como municipio agropecuario ci naga de oro necesita un mejor sistema de acueducto y a eso me comprometo necesita	
990648401338490880	Germán Vargas Lleras	German_Vargas	Sun Apr 29 17:45:58 +0000 2018	NA	NA	NA	como fue de nefasto que hubiesen acabado entidades como el ica y el dri que hac an investigaci n y transferencia d	
990646084656648192	adriana	adriana26156061	Sun Apr 29 17:36:46 +0000 2018	NA	NA	NA	mucho miedo da lo que pueda hacer santos vargas lleras petro	
990645498938880000	Felipe Niño	gfnino	Sun Apr 29 17:34:26 +0000 2018	NA	NA	NA	soy vargas lleras via	
990644726964674560	JM Reyes	machecor	Sun Apr 29 17:31:22 +0000 2018	NA	NA	NA	vargas lleras gan un votante m s	
990644220162699264	Germán Vargas Lleras	German_Vargas	Sun Apr 29 17:29:22 +0000 2018	NA	NA	NA	los habitantes de ci naga de oro saben que mi sello es el cumplimiento y cero carreta por eso ya se ven las obras	
990643772856918017	ERNESTO GARCÍA C.	ernesgarcarv	Sun Apr 29 17:27:35 +0000 2018	NA	NA	NA	a mediados de la semana entrante se publicara la encuesta en donde petro en bogota ha comenzado a perder credibilid	
990642938207244290	Germán Vargas Lleras	German_Vargas	Sun Apr 29 17:24:16 +0000 2018	NA	NA	NA	ci naga de oro llenos de entusiasmo llegamos a ci naga de oro c rdoba en d nde sus habitantes reconocen nuestro	
